graph_order,uDHBA_id,uDHBA_acronym,uDHBA_name,DHBA_name,DHBA_acronym,DHBA_id,uDHBA_label_value,r,g,b,hierarchy and full names,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1854,DHBA:13221,orsm,medial orbital sulcus,medial orbital sulcus,ors-m,13221,299,94,107,184,,,,,,,,medial orbital sulcus,,,,,,,,,,
1855,DHBA:AA30506,orsi,intermediate orbital sulcus,,,,1979,245,130,48,,,,,,,,intermediate orbital sulcus,,,,,,,,,,
1856,DHBA:AA30507,orsir,"intermediate orbital sulcus, rostral portion",,,,1980,145,30,180,,,,,,,,,"intermediate orbital sulcus, rostral portion",,,,,,,,,
1857,DHBA:AA30508,orsic,"intermediate orbital sulcus, caudal portion",,,,1981,0,130,200,,,,,,,,,"intermediate orbital sulcus, caudal portion",,,,,,,,,
1858,DHBA:13222,orsl,lateral orbital sulcus,lateral orbital sulcus,ors-l,13222,300,153,135,252,,,,,,,,lateral orbital sulcus,,,,,,,,,,
1859,DHBA:13223,orst,transverse (arcuate) orbital sulcus,transverse orbital sulcus,ors-t,13223,301,209,3,142,,,,,,,,transverse (arcuate) orbital sulcus,,,,,,,,,,
1860,DHBA:10627,pocs,postcentral sulcus,postcentral sulcus,pocs,10627,304,181,151,114,,,,,,,postcentral sulcus,,,,,,,,,,,
1861,DHBA:10628,prcs,precentral sulcus,precentral sulcus,prcs,10628,305,182,1,3,,,,,,,precentral sulcus,,,,,,,,,,,
1862,DHBA:10634,pacis,paracingulate sulcus,paracingulate sulcus,pacis,10634,314,58,152,185,,,,,,,paracingulate sulcus,,,,,,,,,,,
1863,DHBA:10638,sps,subparietal (splenial) sulcus,subparietal (splenial) sulcus,sps,10638,320,54,132,68,,,,,,,subparietal (splenial) sulcus,,,,,,,,,,,
1864,DHBA:146034820,phligs,parahippocampo-lingual sulcus,parahippocampo-ligual sulcus,phligs,146034820,315,70,6,62,,,,,,,parahippocampo-lingual sulcus,,,,,,,,,,,
1865,DHBA:10641,us,uncal sulcus,uncal sulcus,us,10641,325,5,213,130,,,,,,,uncal sulcus,,,,,,,,,,,
1866,DHBA:146034812,lus,lunate sulcus,lunate sulcus,lus,146034812,1982,128,128,128,,,,,,,lunate sulcus,,,,,,,,,,,
1867,DHBA:AA30509,pols,parolfactory sulcus,,,,1983,0,0,128,,,,,,,parolfactory sulcus,,,,,,,,,,,
1868,DHBA:13343,prin,precentral sulcus of insula,precentral sulcus of insula,prin,13343,1984,0,0,128,,,,,,,precentral sulcus of insula,,,,,,,,,,,
1869,DHBA:13344,poin,postcentral sulcus of insula,postcentral sulcus of insula,poin,13344,1985,128,128,0,,,,,,,postcentral sulcus of insula,,,,,,,,,,,
1870,DHBA:146034852,tts,transverse temporal sulcus,transverse temporal sulcus,tts,146034852,323,172,110,194,,,,,,,transverse temporal sulcus,,,,,,,,,,,
1871,DHBA:146034868,ttsle,lateral extension of transverse temporal sulcus,lateral extension of transverse temporal sulcus,tts-le,146034868,1986,145,30,180,,,,,,,lateral extension of transverse temporal sulcus,,,,,,,,,,,
1872,DHBA:AA30510,ps,principal sulcus (macaque),,,,1987,0,128,128,,,,,,,principal sulcus (macaque),,,,,,,,,,,
1873,DHBA:AA30511,ars,arcuate sulcus (macaque),,,,1988,145,30,180,,,,,,,arcuate sulcus (macaque),,,,,,,,,,,
1874,DHBA:AA30512,arss,superior ramus of arcuate sulcus,,,,1989,220,190,255,,,,,,,,superior ramus of arcuate sulcus,,,,,,,,,,
1875,DHBA:AA30513,arsi,inferior ramus of arcuate sulcus,,,,1990,255,215,180,,,,,,,,inferior ramus of arcuate sulcus,,,,,,,,,,
1876,DHBA:AA30514,ecas,external calcarine sulcus,,,,1991,128,0,0,,,,,,,external calcarine sulcus,,,,,,,,,,,
1877,DHBA:10645,prn,preoccipital notch,preoccipital notch,PrN,10645,1992,255,225,25,,,,,,,preoccipital notch,,,,,,,,,,,
1878,DHBA:10646,tpuj,temporopolar uncal junction,temporopolar uncal junction,TPUJ,10646,1993,255,215,180,,,,,,,temporopolar uncal junction,,,,,,,,,,,
1879,DHBA:12180,tn,tentorial notch,tentorial notch,TN,12180,1994,255,215,180,,,,,,,tentorial notch,,,,,,,,,,,
1880,DHBA:AA30515,pss,pseudosylvian sulcus,,,,1995,70,240,240,,,,,,,pseudosylvian sulcus,,,,,,,,,,,
1881,DHBA:AA30516,ecs,ectosylvian sulcus,,,,1996,70,240,240,,,,,,,ectosylvian sulcus,,,,,,,,,,,
1882,DHBA:AA30517,recs,rostral ectosylvian sulcus,,,,1997,170,110,40,,,,,,,,rostral ectosylvian sulcus,,,,,,,,,,
1883,DHBA:AA30518,cecs,caudal ectosylvian sulcus,,,,1998,60,180,75,,,,,,,,caudal ectosylvian sulcus,,,,,,,,,,
1884,DHBA:AA30519,sss,suprasylvian sulcus,,,,1999,250,190,212,,,,,,,suprasylvian sulcus,,,,,,,,,,,
1885,DHBA:AA30520,ssp,postsylvian sulcus,,,,2000,255,225,25,,,,,,,,postsylvian sulcus,,,,,,,,,,
1886,DHBA:AA30521,dls,(dorso)lateral sulcus,,,,2001,145,30,180,,,,,,,(dorso)lateral sulcus,,,,,,,,,,,
1887,DHBA:AA30790,mls,mediolateral sulcus,,,,1889,170,255,195,,,,,,,,mediolateral sulcus,,,,,,,,,,
1888,DHBA:AA30522,dgs,diagonal sulcus,,,,2003,0,128,128,,,,,,,diagonal sulcus,,,,,,,,,,,
1889,DHBA:AA30523,crs,cruciate sulcus,,,,2004,128,128,0,,,,,,,cruciate sulcus,,,,,,,,,,,
1890,DHBA:AA30524,cns,coronal sulcus,,,,2005,245,130,48,,,,,,,coronal sulcus,,,,,,,,,,,
1891,DHBA:AA30525,ass,ans(e)ate sulcus,,,,2006,0,130,200,,,,,,,ans(e)ate sulcus,,,,,,,,,,,
1892,DHBA:AA30526,sos,superior orbital sulcus,,,,2007,70,240,240,,,,,,,superior orbital sulcus,,,,,,,,,,,
1893,DHBA:AA30527,mgs,marginal sulcus,,,,2008,245,130,48,,,,,,,marginal sulcus,,,,,,,,,,,
1894,DHBA:AA30528,cmg,caudal marginal sulcus,,,,2009,170,255,195,,,,,,,,caudal marginal sulcus,,,,,,,,,,
1895,DHBA:AA30529,edms,endomarginal sulcus,,,,2010,128,128,128,,,,,,,endomarginal sulcus,,,,,,,,,,,
1896,DHBA:AA30530,etms,entomarginal sulcus,,,,2011,145,30,180,,,,,,,entomarginal sulcus,,,,,,,,,,,
1897,DHBA:AA30531,spls,splenial sulcus,,,,2012,0,128,128,,,,,,,splenial sulcus,,,,,,,,,,,
1898,DHBA:AA30532,prss,presylvian sulcus,,,,2013,60,180,75,,,,,,,presylvian sulcus,,,,,,,,,,,
1899,DHBA:12112,CeG,cerebral gyri and lobules,cerebral gyri and lobules,CeG,12112,1,137,180,43,,,,,cerebral gyri and lobules,,,,,,,,,,,,,
1900,DHBA:12113,FroL,frontal lobe,frontal lobe,FroL,12113,2,2,74,122,,,,,,frontal lobe,,,,,,,,,,,,
1901,DHBA:12114,PrCG,precentral gyrus,precentral gyrus,PrCG,12114,3,176,25,18,,,,,,,precentral gyrus,,,,,,,,,,,
1902,DHBA:12115,SFG,superior frontal gyrus,superior frontal gyrus,SFG,12115,4,226,177,54,,,,,,,superior frontal gyrus,,,,,,,,,,,
1903,DHBA:12116,MFG,middle frontal gyrus,middle frontal gyrus,MFG,12116,5,208,149,200,,,,,,,middle frontal gyrus,,,,,,,,,,,
1904,DHBA:12117,IFG,inferior frontal gyrus,inferior frontal gyrus,IFG,12117,6,24,125,52,,,,,,,inferior frontal gyrus,,,,,,,,,,,
1905,DHBA:12118,IFGtr,"inferior frontal gyrus, triangular part","inferior frontal gyrus, triangular part",IFGtr,12118,7,204,110,71,,,,,,,,"inferior frontal gyrus, triangular part",,,,,,,,,,
1906,DHBA:12119,IFGop,"inferior frontal gyrus, opercular part","inferior frontal gyrus, opercular part",IFGop,12119,8,154,47,248,,,,,,,,"inferior frontal gyrus, opercular part",,,,,,,,,,
1907,DHBA:146034888,FP,frontal pole,frontal pole,FP,146034888,76,149,62,149,,,,,,,frontal pole,,,,,,,,,,,
1908,DHBA:146034884,FMG,frontomarginal gyrus,frontomarginal gyrus,FMG,146034884,75,171,137,36,,,,,,,frontomarginal gyrus,,,,,,,,,,,
1909,DHBA:12121,ReG,rectus gyrus,gyrus rectus (straight gyrus),ReG,12121,10,200,118,81,,,,,,,rectus gyrus,,,,,,,,,,,
1910,DHBA:146034876,RoG,rostral gyrus,rostral gyrus,RoG,146034876,74,26,83,152,,,,,,,rostral gyrus,,,,,,,,,,,
1911,DHBA:AA30533,OrG,orbital gyri,,,,2014,210,245,60,,,,,,,orbital gyri,,,,,,,,,,,
1912,DHBA:12122,MOrG,medial orbital gyrus,medial orbital gyrus,MOrG,12122,11,139,146,225,,,,,,,,medial orbital gyrus,,,,,,,,,,
1913,DHBA:12123,AOrG,anterior intermediate orbital gyrus,anterior intermediate orbital gyrus,AOrG,12123,12,238,19,210,,,,,,,,anterior intermediate orbital gyrus,,,,,,,,,,
1914,DHBA:12124,POrG,posterior intermediate orbital gyrus,posterior intermediate orbital gyrus,POrG,12124,13,67,104,41,,,,,,,,posterior intermediate orbital gyrus,,,,,,,,,,
1915,DHBA:12125,LOrG,lateral orbital gyrus,lateral orbital gyrus,LOrG,12125,14,52,182,189,,,,,,,,lateral orbital gyrus,,,,,,,,,,
1916,DHBA:12126,PCLr,"paracentral lobule, rostral part","paracentral lobule, rostral part",PCLr,12126,15,183,37,140,,,,,,,"paracentral lobule, rostral part",,,,,,,,,,,
1917,DHBA:12127,FrO,frontal operculum,frontal operculum,FrO,12127,16,224,82,147,,,,,,,frontal operculum,,,,,,,,,,,
1918,DHBA:12132,PoCG,postcentral gyrus,postcentral gyrus,PoCG,12132,21,47,196,62,,,,,,,postcentral gyrus,,,,,,,,,,,
1919,DHBA:146034872,PaCG,paracingulate gyrus,paracingulate gyrus,PaCG,146034872,73,220,205,120,,,,,,,paracingulate gyrus,,,,,,,,,,,
1920,DHBA:12157,CgGr,"cingulate gyrus, rostral (anterior) part","cingulate gyrus, rostral (anterior) part",CgGr,12157,46,226,12,152,,,,,,,"cingulate gyrus, rostral (anterior) part",,,,,,,,,,,
1921,DHBA:12160,SCG,subcallosal (subgenual) gyrus (parolfactory gyrus),subcallosal gyrus (parolfactory gyrus),SCG,12160,49,38,217,220,,,,,,,subcallosal (subgenual) gyrus (parolfactory gyrus),,,,,,,,,,,
1922,DHBA:12161,PTG,paraterminal gyrus,paraterminal gyrus,PTG,12161,50,10,41,68,,,,,,,paraterminal gyrus,,,,,,,,,,,
1923,DHBA:AA30534,DLPG,dorsolateral prefrontal gyrus,,,,2015,70,240,240,,,,,,,dorsolateral prefrontal gyrus,,,,,,,,,,,
1924,DHBA:AA30535,VLPG,ventrolateral prefrontal gyrus,,,,2016,170,255,195,,,,,,,ventrolateral prefrontal gyrus,,,,,,,,,,,
1925,DHBA:AA30792,PrRG,prorean gyrus,,,,2017,145,30,180,,,,,,,prorean gyrus,,,,,,,,,,,
1926,DHBA:AA30536,DAG,diagonal gyrus,,,,2018,220,190,255,,,,,,,diagonal gyrus,,,,,,,,,,,
1927,DHBA:AA30537,PCrG,precruciate gyrus,,,,2019,250,190,212,,,,,,,precruciate gyrus,,,,,,,,,,,
1928,DHBA:AA30538,PCrGr,rostral precruciate gyrus,,,,2020,170,255,195,,,,,,,,rostral precruciate gyrus,,,,,,,,,,
1929,DHBA:AA30539,PCrGc,caudal precruciate gyrus,,,,2021,250,190,212,,,,,,,,caudal precruciate gyrus,,,,,,,,,,
1930,DHBA:AA30540,RCG,rostral composite gyrus,,,,2022,255,215,180,,,,,,,rostral composite gyrus,,,,,,,,,,,
1931,DHBA:AA30541,COG,coronal gyrus,,,,2023,0,130,200,,,,,,,coronal gyrus,,,,,,,,,,,
1932,DHBA:AA30542,GeG,genual gyrus,,,,2024,245,130,48,,,,,,,genual gyrus,,,,,,,,,,,
1933,DHBA:AA30543,FRG,frontal gyrus,,,,2025,245,130,48,,,,,,,frontal gyrus,,,,,,,,,,,
1934,DHBA:12131,ParL,parietal lobe,parietal lobe,ParL,12131,20,73,108,171,,,,,,parietal lobe,,,,,,,,,,,,
1935,DHBA:12133,SPL,superior parietal lobule (gyrus),supraparietal lobule,SPL,12133,22,170,243,66,,,,,,,superior parietal lobule (gyrus),,,,,,,,,,,
1936,DHBA:12134,IPL,inferior parietal lobule (gyrus),inferior parietal lobule,IPL,12134,23,125,57,55,,,,,,,inferior parietal lobule (gyrus),,,,,,,,,,,
1937,DHBA:12135,SMG,supramarginal gyrus,supramarginal gyrus,SMG,12135,24,27,88,91,,,,,,,,supramarginal gyrus,,,,,,,,,,
1938,DHBA:12136,AnG,angular gyrus,angular gyrus,AnG,12136,25,78,51,246,,,,,,,,angular gyrus,,,,,,,,,,
1939,DHBA:12137,PrCun,precuneaus (gyrus),precuneus,PrCun,12137,26,75,140,53,,,,,,,precuneaus (gyrus),,,,,,,,,,,
1940,DHBA:12138,PCLc,"paracentral lobule, caudal part","paracentral lobule, caudal part",PCLc,12138,27,237,191,44,,,,,,,"paracentral lobule, caudal part",,,,,,,,,,,
1941,DHBA:13230,PaO,parietal operculum,parietal operculum,PaO,13230,69,230,177,141,,,,,,,parietal operculum,,,,,,,,,,,
1942,DHBA:12158,CgGc,"cingulate gyrus, caudal (posterior) part","cingulate gyrus, caudal (posterior) part",CgGc,12158,47,230,200,248,,,,,,,"cingulate gyrus, caudal (posterior) part",,,,,,,,,,,
1943,DHBA:AA30544,Ann,annectant gyrus,,,,2026,255,250,200,,,,,,,annectant gyrus,,,,,,,,,,,
1944,DHBA:AA30545,RES,rostral ectosylvian gyrus,,,,2027,0,0,128,,,,,,,rostral ectosylvian gyrus,,,,,,,,,,,
1945,DHBA:AA30546,RSS,rostral suprasylvian gyrus,,,,2028,0,128,128,,,,,,,rostral suprasylvian gyrus,,,,,,,,,,,
1946,DHBA:AA30547,RSG,rostral sylvian gyrus,,,,2029,230,25,75,,,,,,,rostral sylvian gyrus,,,,,,,,,,,
1947,DHBA:AA30548,SPG,splenial gyrus,,,,2030,0,130,200,,,,,,,splenial gyrus,,,,,,,,,,,
1948,DHBA:12139,TemL,temporal lobe,temporal lobe,TemL,12139,28,209,103,90,,,,,,temporal lobe,,,,,,,,,,,,
1949,DHBA:12140,STG,superior temporal gyrus,superior temporal gyrus,STG,12140,29,6,215,226,,,,,,,superior temporal gyrus,,,,,,,,,,,
1950,DHBA:12141,MTG,middle temporal gyrus,middle temporal gyrus,MTG,12141,30,171,71,73,,,,,,,middle temporal gyrus,,,,,,,,,,,
1951,DHBA:12142,ITG,inferior temporal gyrus,inferior temporal gyrus,ITG,12142,31,248,52,29,,,,,,,inferior temporal gyrus,,,,,,,,,,,
1952,DHBA:AA30549,FuG,fusiform (occipitotemporal) gyrus,,,,2032,60,180,75,,,,,,,fusiform (occipitotemporal) gyrus,,,,,,,,,,,
1953,DHBA:12144,TTG,transverse temporal gyrus (Heschl's gyrus),transverse temporal gyrus (Heschl's gyrus),TTG,12144,33,23,156,13,,,,,,,transverse temporal gyrus (Heschl's gyrus),,,,,,,,,,,
1954,DHBA:12145,PLT,planum temporale,planum temporale,PLT,12145,34,141,230,230,,,,,,,planum temporale,,,,,,,,,,,
1955,DHBA:12146,TP,temporal pole (temporopolar cortex),temporal pole,TP,12146,35,223,139,152,,,,,,,temporal pole (temporopolar cortex),,,,,,,,,,,
1956,DHBA:12147,PLP,planum polare,planum polare,PLP,12147,36,70,172,63,,,,,,,planum polare,,,,,,,,,,,
1957,DHBA:AA30550,HiG,hippocampal gyrus,,,,2033,145,30,180,,,,,,,hippocampal gyrus,,,,,,,,,,,
1958,DHBA:12171,HiH,head of hippocampus,head of hippocampus,HiH,12171,60,227,220,64,,,,,,,,head of hippocampus,,,,,,,,,,
1959,DHBA:12172,HiD,digitations of hippocampus,digitations of hippocampus,HiD,12172,61,153,133,252,,,,,,,,,digitations of hippocampus,,,,,,,,,
1960,DHBA:12173,HiB,body of hippocampus,body of hippocampus,HiB,12173,62,179,152,49,,,,,,,,body of hippocampus,,,,,,,,,,
1961,DHBA:12174,HiT,tail of hippocampus,tail of hippocampus,HiT,12174,63,144,43,240,,,,,,,,tail of hippocampus,,,,,,,,,,
1962,DHBA:12175,FaG,fasciolar gyrys,fasciolar gyrus,FaG,12175,64,51,87,124,,,,,,,,,fasciolar gyrys,,,,,,,,,
1963,DHBA:13233,Retz,Retzius' gyrus,Retzius' gyrus,Retz,13233,72,78,125,49,,,,,,,,,Retzius' gyrus,,,,,,,,,
1964,DHBA:266441673,Subx,subicular complex,subicular complex,Subx,266441673,2425,128,0,0,,,,,,,subicular complex,,,,,,,,,,,
1965,DHBA:12165,UN,uncus of (para)hippocampal gyrus,uncus of parahippocampal gyrus,UN,12165,54,194,147,217,,,,,,,uncus of (para)hippocampal gyrus,,,,,,,,,,,
1966,DHBA:12167,BnG,band of Giacomini,band of Giacomini,BG,12167,56,60,180,75,,,,,,,,band of Giacomini,,,,,,,,,,
1967,DHBA:12168,ILG,intralimbic gryus,intralimbic gyrus,ILG,12168,57,32,55,84,,,,,,,,intralimbic gryus,,,,,,,,,,
1968,DHBA:12169,SLG,semilunar gyrus,semilunar gyrus,SLG,12169,58,237,246,205,,,,,,,,semilunar gyrus,,,,,,,,,,
1969,DHBA:12162,PHG,parahippocampal gyrus,parahippocampal gyrus,PHG,12162,51,154,18,176,,,,,,,parahippocampal gyrus,,,,,,,,,,,
1970,DHBA:12166,AG,ambiens gyrus,ambiens gyrus,AG,12166,55,135,200,34,,,,,,,,ambiens gyrus,,,,,,,,,,
1971,DHBA:12163,APH,anterior parahippocampal gyrus,anterior parahippocampal gyrus,APH,12163,52,77,252,137,,,,,,,,anterior parahippocampal gyrus,,,,,,,,,,
1972,DHBA:12164,PPH,posterior parahippocampal gyrus,posterior parahippocampal gyrus,PPH,12164,53,154,215,131,,,,,,,,posterior parahippocampal gyrus,,,,,,,,,,
1973,DHBA:12159,IsCPH,cingulate-parahippocampal isthmus,cingulo-parahippocampal isthmus,IsCPH,12159,48,252,176,66,,,,,,,cingulate-parahippocampal isthmus,,,,,,,,,,,
1974,DHBA:146034892,PRG,perirhinal gyrus,perirhinal gyrus ( rostral part of FuGt),PRG,146034892,2017,145,30,180,,,,,,,perirhinal gyrus,,,,,,,,,,,
1975,DHBA:AA30551,CSG,caudal sylvian gyrus,,,,2034,170,110,40,,,,,,,caudal sylvian gyrus,,,,,,,,,,,
1976,DHBA:AA30552,MES,middle ectosylvian gyrus,,,,2035,255,225,25,,,,,,,middle ectosylvian gyrus,,,,,,,,,,,
1977,DHBA:AA30553,CES,caudal ectosylvian gyrus,,,,2036,145,30,180,,,,,,,caudal ectosylvian gyrus,,,,,,,,,,,
1978,DHBA:AA30554,CCG,caudal composite gyrus,,,,2037,240,50,230,,,,,,,caudal composite gyrus,,,,,,,,,,,
1979,DHBA:12148,OccL,occipital lobe,occipital lobe,OccL,12148,37,156,147,120,,,,,,occipital lobe,,,,,,,,,,,,
1980,DHBA:12149,OP,occipital pole,occipital pole,OP,12149,38,121,217,121,,,,,,,occipital pole,,,,,,,,,,,
1981,DHBA:12150,Cun,cuneus (gyrus),cuneus,Cun,12150,39,195,67,76,,,,,,,cuneus (gyrus),,,,,,,,,,,
1982,DHBA:12151,LiG,lingual gyrus,lingual gyrus,LiG,12151,40,160,199,170,,,,,,,lingual gyrus,,,,,,,,,,,
1983,DHBA:12153,IOG,inferior occipital gyrus,inferior occipital gyrus,IOG,12153,42,47,173,40,,,,,,,inferior occipital gyrus,,,,,,,,,,,
1984,DHBA:12154,SOG,superior occipital gyrus,superior occipital gyrus,SOG,12154,43,176,141,45,,,,,,,superior occipital gyrus,,,,,,,,,,,
1985,DHBA:AA30555,PrLG,prelunate gyrus,,,,2038,170,255,195,,,,,,,prelunate gyrus,,,,,,,,,,,
1986,DHBA:AA30556,MrG,marginal gyrus,,,,2039,145,30,180,,,,,,,marginal gyrus,,,,,,,,,,,
1987,DHBA:AA30557,EMG,ectomarginal gyrus,,,,2040,245,130,48,,,,,,,ectomarginal gyrus,,,,,,,,,,,
1988,DHBA:AA30558,MSS,middle suprasylvian gyrus,,,,2041,0,128,128,,,,,,,middle suprasylvian gyrus,,,,,,,,,,,
1989,DHBA:AA30559,CSS,caudal suprasylvian gyrus,,,,2042,145,30,180,,,,,,,caudal suprasylvian gyrus,,,,,,,,,,,
1990,DHBA:12176,InL,insular lobe,insular lobe,InL,12176,65,149,212,105,,,,,,insular lobe,,,,,,,,,,,,
1991,DHBA:12177,LIG,long insular gyri,long insular gyri,LIG,12177,66,189,21,182,,,,,,,long insular gyri,,,,,,,,,,,
1992,DHBA:12178,SIG,short insular gyri,short insular gyri,SIG,12178,67,174,201,18,,,,,,,short insular gyri,,,,,,,,,,,
1993,DHBA:AA30560,SSx,other surface structures of forebrain,,,,2043,245,130,48,,,,,other surface structures of forebrain,,,,,,,,,,,,,
1994,DHBA:12179,LI,limen insula,limen insula,LI,12179,2404,240,50,230,,,,,,limen insula,,,,,,,,,,,,
1995,DHBA:10642,APS,anterior perforated substance ,anterior perforated substance ,APS,10642,2399,70,240,240,,,,,,anterior perforated substance ,,,,,,,,,,,,
1996,DHBA:15546,MB,mammillary body,mammillary body,MB,15546,333,230,25,75,,,,,,mammillary body,,,,,,,,,,,,
1997,DHBA:10645,PrN,preoccipital notch,preoccipital notch,PrN,10645,2400,255,215,180,,,,,,preoccipital notch,,,,,,,,,,,,
1998,DHBA:12180,TN,tentorial notch,tentorial notch,TN,12180,2405,245,130,48,,,,,,tentorial notch,,,,,,,,,,,,
1999,DHBA:10646,TPUJ,temporopolar-uncal junction,temporopolar-uncal junction,TPUJ,10646,2401,245,130,48,,,,,,temporopolar-uncal junction,,,,,,,,,,,,
2000,DHBA:10647,TC,tuber cinereum,tuber cinereum,TC,10647,2402,230,25,75,,,,,,tuber cinereum,,,,,,,,,,,,
2001,DHBA:10637,ss,semiannular sulcus (amygdaloid sulcus),semiannular sulcus,ss,10637,319,187,65,91,,,,,,semiannular sulcus (amygdaloid sulcus),,,,,,,,,,,,
2002,DHBA:12102,InTh,interthalamic adhesion (massa intermedia),interthalamic adhesion (massa intermedia),InTh,12102,329,138,37,122,,,,,,interthalamic adhesion (massa intermedia),,,,,,,,,,,,
2003,DHBA:13234,HaTr,habenular triangle,habenular triangle,HaTr,13234,2044,0,0,128,,,,,,habenular triangle,,,,,,,,,,,,
2004,DHBA:10643,InF,infundibular stalk,infundibular stalk,InF,10643,2045,60,180,75,,,,,,infundibular stalk,,,,,,,,,,,,
2005,DHBA:12105,LaT,lamina terminalis,lamina terminalis,LaT,12105,330,126,61,104,,,,,,lamina terminalis,,,,,,,,,,,,
2006,DHBA:12098,Pell,septum pellucidum,septum pellucidum,Pell,12098,332,137,249,167,,,,,,septum pellucidum,,,,,,,,,,,,
2007,DHBA:12099,cpell,cavum septi pellucidi,cavum septi pellucidi,cpell,12099,2403,60,180,75,,,,,,cavum septi pellucidi,,,,,,,,,,,,
2008,DHBA:266441681,vip,velum interpositum,velum interpositum,vip,266441681,2426,0,128,128,,,,,,velum interpositum,,,,,,,,,,,,
2009,DHBA:AA30561,MBSS,surface structures (landmarks) of midbrain,,,,2046,255,250,200,,,,surface structures (landmarks) of midbrain,,,,,,,,,,,,,,
2010,DHBA:12370,fsmv,frenulum of superior medullary velum,frenulum of the superior medullary velum,fsmv,12370,2048,70,240,240,,,,,frenulum of superior medullary velum,,,,,,,,,,,,,
2011,DHBA:12371,ipf,interpeduncular fossa,interpeduncular fossa,ipf,12371,2047,128,0,0,,,,,interpeduncular fossa,,,,,,,,,,,,,
2012,DHBA:146035008,IsRh,isthmus of rhombencephalon,isthmus of rhombencephalon,IsRh,146035008,2424,255,225,25,,,,,isthmus of rhombencephalon,,,,,,,,,,,,,
2013,DHBA:12374,ocs,oculomotor sulcus,oculomotor sulcus,ocs,12374,2407,128,128,0,,,,,oculomotor sulcus,,,,,,,,,,,,,
2014,DHBA:12372,pops,posterior perforated substance,posterior perforated substance,pops,12372,2406,145,30,180,,,,,posterior perforated substance,,,,,,,,,,,,,
2015,DHBA:12375,qgb,quadrigeminal body,quadrigeminal body,qgb,12375,2408,245,130,48,,,,,quadrigeminal body,,,,,,,,,,,,,
2016,DHBA:12376,r3,root of occulomotor nerve,root of oculomotor nerve,r3,12376,2049,220,190,255,,,,,root of occulomotor nerve,,,,,,,,,,,,,
2017,DHBA:12377,r4,root of trochlear nerve,root of trochlear nerve,r4,12377,2050,128,0,0,,,,,root of trochlear nerve,,,,,,,,,,,,,
2018,DHBA:12378,trill,trigone of lateral lemniscus (acoustic trigone),trigone of lateral lemniscus (acoustic trigone),trill,12378,2409,230,25,75,,,,,trigone of lateral lemniscus (acoustic trigone),,,,,,,,,,,,,
2019,DHBA:AA30562,HBSS,surface structures (landmarks) of hindbrain,,,,2051,255,215,180,,,,surface structures (landmarks) of hindbrain,,,,,,,,,,,,,,
2020,DHBA:12827,CbSS,surface structures (landmarks) of cerebellum,surface structures of cerebellum,CbSS,12827,2052,170,255,195,,,,,surface structures (landmarks) of cerebellum,,,,,,,,,,,,,
2021,DHBA:12828,cbf,cerebellar fissures,cerebellar fissures,cbf,12828,2053,128,128,128,,,,,,cerebellar fissures,,,,,,,,,,,,
2022,DHBA:12829,prcf,precentral (postlingual) fissure,precentral (postlingual) fissure,prcf,12829,2054,170,110,40,,,,,,,precentral (postlingual) fissure,,,,,,,,,,,
2023,DHBA:12830,pocf,postcentral (preculminate) fissure,postcentral (preculminate) fissure,pocf,12830,2055,60,180,75,,,,,,,postcentral (preculminate) fissure,,,,,,,,,,,
2024,DHBA:266441729,icf,intraculminate fissure,intraculminate fissure,icf,266441729,2056,145,30,180,,,,,,,intraculminate fissure,,,,,,,,,,,
2025,DHBA:12831,prif,primary (anterior superior) fissure,primary (anterior superior) fissure,prif,12831,2057,128,0,0,,,,,,,primary (anterior superior) fissure,,,,,,,,,,,
2026,DHBA:12832,psf,posterior superior (postclival) fissure,posterior superior (postclival) fissure,psf,12832,2058,220,190,255,,,,,,,posterior superior (postclival) fissure,,,,,,,,,,,
2027,DHBA:12833,hof,horizontal (intercrural) fissure,horizontal (intercrural) fissure,hof,12833,2059,170,110,40,,,,,,,horizontal (intercrural) fissure,,,,,,,,,,,
2028,DHBA:266441733,apf,ansoparamedian fissure,ansoparamedian fissure,apf,266441733,2060,250,190,212,,,,,,,ansoparamedian fissure,,,,,,,,,,,
2029,DHBA:12834,prpy,prepyramidal (prebiventral) fissure,prepyramidal (prebiventral) fissure,prpy,12834,2061,170,110,40,,,,,,,prepyramidal (prebiventral) fissure,,,,,,,,,,,
2030,DHBA:146035004,ibif,intrabiventral fissure,intravbiventral fissure,ibif,146035004,2062,210,245,60,,,,,,,intrabiventral fissure,,,,,,,,,,,
2031,DHBA:12835,popy,secondary (post pyramidal) fissure,secondary (post pyramidal) fissure,popy,12835,2063,0,130,200,,,,,,,secondary (post pyramidal) fissure,,,,,,,,,,,
2032,DHBA:12836,polf,posterolateral (postnodular) fissure,posterolateral (postnodular) fissure,polf,12836,2064,170,110,40,,,,,,,posterolateral (postnodular) fissure,,,,,,,,,,,
2033,DHBA:AA30563,CbM,cerebellar morphology,,,,2065,0,130,200,,,,,,cerebellar morphology,,,,,,,,,,,,
